subject|details|update_dt|province_location
เหยื่อสิบเอก บุกลวนลาม ขอสู้เพื่อความยุติธรรม บอกคนทำผิดต้องอาย ไม่ใช่เหยื่อ|"เหยื่อสิบเอกบุกลวนลามถึงบ้าน โพสต์ขอบคุณทุกกำลังใจ จากนี้ขอสู้เพื่อความยุติธรรม บอกคนทำผิดต้องอาย ไม่ใช่เหยื่อ ย้ำทหารไม่ได้เลวทุกคนวันที่ 19 ก.ย. 65 ผู้สื่อข่าวรายงานว่า จากกรณี เสมียนหญิง ซึ่งถูกทหารยศสิบเอก บุกเข้ามาในบ้านพัก และพยายามล่วงละเมิดทางเพศ โดยเธอขัดขืน และออกอุบายว่ามีประจำเดือน กระทั่งรอดมาได้ ซึ่งหลังเกิดเหตุ ได้มีการร้องเรียนไปยังต้นสังกัด แต่กลับพบว่า ถูกเรียกสอบในเรื่องภาพอื่นๆ ที่หลุดออกมาแทน ทำให้เธอหวั่นว่าจะไม่ได้รับความเป็นธรรม และมีการออกมาร้องเรียนกับสื่อ จนกลายเป็นกระแส นำไปสู่การปลดสิบเอกพ้นจากกองทัพ ตามที่เสนอข่าวไปแล้วนั้นความคืบหน้าล่าสุด เฟซบุ๊กเพจ ""กัน จอมพลัง"" ได้โพสต์ข้อความอัปเดตว่า ""วันนี้น้องไปทำงานวันแรก น้องเล่าว่าวันนี้เพื่อนๆให้กำลังเยอะมาก ผู้ใหญ่ที่มีประเด็นกับน้องไม่มีใครมาหน่วย เพราะถูกเรียกสอบที่กรมทุกคนขอบคุณเพื่อนๆน้องที่ดีกับน้องครับ คนเราก็จะพิสูจน์ใจกันก็ยามมีความทุกข์นี่แหละครับ และขอเป็นกำลังใจให้กองทัพบก และ กระทรวงกลาโหม ในการดำเนินการกับคนที่ ไม่ให้ความเป็นธรรมกับน้องด้วยครับ"|2022-09-19|กรุงเทพมหานคร
รวบแล้วหนุ่มใหญ่ ฉุดสาวขืนใจ-ชวนเพื่อนรุมย่ำยี เค้นสอบยังปฏิเสธ|บุกรวบหนุ่มใหญ่ 51 คาบ้านพัก หลังถูกสาวสวนยางวัย 20 แจ้งความจับ จี้ฉุดบังคับขืนใจ-โทรชวนเพื่อนรุมย่ำยี ค้นบ้านเจอปืน 1 กระบอก ตำรวจสวนสอบเจ้าตัวยังปฏิเสธ-ยอมรับแค่คดีอาวุธปืน เมื่อวันที่ 27 ก.ย.65 ผู้สื่อข่าวรายงานว่า จากกรณี ที่ น.ส.เอ (นามสมมุติ) อายุ 20 ปี อาชีพทำสวนยาง เข้าแจ้งความที่ สภ.กบินทร์บุรี ว่าถูก นายเสมียน (ขอสงวนนามสกุล) อายุ 51 ปี ขับ จยย.พ่วงข้าง ใช้มีดปลายแหลมจี้บังคับพาไปข่มขืนในห้องพักชั่วคราวในโรงเลี้ยงไก่ พื้นที่หมู่ 1 ต.บ้านนา อ.กบินทร์บุรี จ.ปราจีนบุรี จนสำเร็จความใคร่ หลังเสร็จกิจกามยังโทรศัพท์ตามเพื่อนอีกคนไม่ทราบชื่อมาข่มขืนอีก และกักขังเหยื่อให้อยู่จนถึงรุ่งเช้า ก่อนขี่รถ จยย.พากลับไปส่งที่บ้าน แล้วข่มขู่ห้ามนำเรื่องที่เกิดขึ้นไปบอกใคร ไม่เช่นนั้นจะฆ่าให้ตาย ก่อนเหยื่อตัดสินใจเข้าแจ้งความดังกล่าว|2022-09-28|ปราจีนบุรี
ปคม.จับพ่อเลี้ยงหื่น ข่มขืนลูกเลี้ยงสาว 15 มาครึ่งปี รับมีอารมณ์กะทันหัน|ปคม.นำกำลังจับกุมพ่อเลี้ยงหนุ่มประมงวัย 38 ปี ที่ อ.ท่าศาลา หลังย่าเด็กหญิง 15 ปี แจ้งความหลานสาวถูกพ่อเลี้ยงบังคับข่มขืนลูกมาครึ่งปี ผู้ต้องหาเจอฉี่ม่วงรับสารภาพ ทำจริงเพราะเกิดอารมณ์กะทันหันเมื่อวันที่ 7 ก.ค.63 พล.ต.ต.วรวัฒน์ วัฒน์นครบัญชา ผบก.ปคม.พ.ต.อ.ภูมินทร์ พุ่มพันธ์ม่วง รอง ผบก.ปคม. สั่งการให้ พ.ต.อ.อภิสัณฐ์ ไชยรัตน์ ผกก.5 บก.ปคม. พ.ต.ท.มนต์ชัย เพ็งเลิศ รอง ผกก.5 บก.ปคม. พ.ต.ท.วิศิษฏ์ ศรียาภัย และ พ.ต.ท.พีรณัฎฐ์ บุญค้ำพงศ์ สว.กก.5 บก.ปคม. ร่วมกับ สภ.ท่าศาลา จ.นครศรีธรรมราช นำกำลังจับกุมนายเอก (นามสมมติ) อายุ 38 ปี ในข้อหาเสพยาเสพติดให้โทษประเภท 1 (ยาไอซ์) โดยผิดกฎหมาย จับได้ที่บ้านพักใน อ.ท่าศาลา จ.นครศรีธรรมราชสืบเนื่องจากก่อนหน้านี้ได้มีหญิงสูงอายุอ้างตัวเป็นย่าของ ด.ญ.เบลล์ (นามสมมติ) อายุประมาณ 15 ปี เข้ามาขอความช่วยเหลือกับพ.ต.อ.อภิสัณฐ์ เพื่อให้สอบสวนและช่วยเหลือหลานสาว หลังทราบข่าวว่าถูกพ่อเลี้ยงล่วงละเมิดทางเพศมานานหลายเดือนแล้ว โดยที่ตนไม่กล้าจะเข้าไปช่วยเหลือ เพราะมีอายุมากแล้ว ต่อมาเจ้าหน้าที่กก.5.บก.ปคม. ได้ประสานกับตำรวจ สภ.ท่าศาลา เพื่อตรวจสอบจนพบว่า นายเอก มีพฤติกรรมเกี่ยวข้องกับยาเสพติดด้วย จึงเข้าตรวจสอบบ้านพักของผู้ต้องหา พบตัวนายเอก พ่อเลี้ยง กับด.ญ.เบลล์ อยู่กับน้องสาว อายุ 4 ปี ภายในบ้าน ตรวจปัสสาวะของนายเอก พบผลตรวจเป็นสีม่วง พร้อมยอมรับว่าเสพยาไอซ์จริง จึงได้คุมตัวดำเนินคดีที่ สภ.ท่าศาลา พร้อมกับเชิญตัว ด.ญ.เบลล์ มาสอบปากคำในเรื่องที่ได้รับการร้องเรียน|2022-07-07|นครศรีธรรมราช
คุก 12 ปีแท็กซี่ข่มขืนหญิงเมียนมา|วันที่ 23 เม.ย. พล.ต.ท.สุรเชษฐ์ หักพาล ผู้ช่วย ผบ.ตร.และรอง ผอ.ศพดส.ตร. นำฝ่ายปฏิบัติการ ศพดส.ตร. ร่วมกับ สน.หัวหมาก จับกุมนายอดิเรก หรือหมี แซ่เบ๊ อายุ 39 ปี ผู้ต้องหาขับแท็กซี่หลอกลวงหญิงสาวชาวเมียนมา อายุ 17 ปีว่าจะพาไปสมัครงาน หลอกลวงพาข่มขืนกระทำชำเราที่โรงแรมม่านรูดอ้างว่าจะพาไปตรวจ ATK จับผู้เสียหายใส่กุญแจมือและข่มขืนกระทำชำเราผู้เสียหาย ถ่ายภาพขณะข่มขืนกระทำชำเราเก็บไว้ด้วยโทรศัพท์มือถือ และลักเอาโทรศัพท์มือถือและเงินสด 500 บาทของผู้เสียหายไปอีกญาติของผู้เสียหายคิดว่าเป็นการเข้าสมัครงานของผู้เสียหายผ่านระบบ “ออนไลน์” โดยคนขับแท็กซี่อ้างทำหน้าที่มารับผู้เสียหายเข้าสมัครงาน ทำให้หลงเชื่อปล่อยให้ผู้เสียหายเดินทางไปกับคนขับแท็กซี่ตามลำพัง|2022-04-23|กรุงเทพมหานคร
"รวบแล้ว ""ฆาตกรโหด"" ฆ่ารัดคอสาว โยนทิ้งสระน้ำท้ายหมู่บ้าน ที่พะเยา"|"จับได้แล้ว ""ฆาตกรโหด"" ฆ่ารัดคอสาว 29 มัดมือ-มัดเท้าแบกศพทิ้งน้ำ ลอยอืดสระท้ายหมู่บ้านเมืองพะเยา เค้นสอบสารภาพ อ้างโมโหผู้ตายรบเร้ากลับบ้าน ตำรวจเตรียมนำตัวทำแผน 9 ก.ย.นี้ จากกรณี พบศพหญิงสาวถูกฆ่า นำศพมาโยนทิ้งในสระน้ำท้ายหมู่บ้านท่าเรือ หมู่ 13 ต.ต๊ำ อ.เมือง จ.พะเยา เมื่อวันที่ 6 ก.ย. ที่ผ่านมา ต่อมาเจ้าหน้าที่ตำรวจ สภ.เมืองพะเยา ได้สืบสวนจนทราบว่าผู้ตาย คือ น.ส.นุชรี ศรีแก้ว อายุ 29 ปี ก่อนเสียชีวิตได้เดินทางมาที่ รพ.พะเยา เมื่อวันที่ 29 ส.ค. 65 หลังจากนั้นช่วงเย็นวันเดียวกันถูก นายพิทักษ์ ทองติ๊บ อายุ 47 ปี ชาวจังหวัดพะเยา ขับรถกระบะมารับตัวไป ก่อนพบเป็นศพถูกฆ่าและนำมาทิ้งในสระน้ำดังกล่าว โดยเจ้าหน้าที่ตำรวจสงสัยว่า นายพิทักษ์ เป็นผู้ก่อเหตุ ความคืบหน้าล่าสุดวันนี้ (7 ก.ย.) พ.ต.อ.บวร ไชยคำ ผกก.สภ.เมืองพะเยา นำกำลังเจ้าหน้าที่ตำรวจชุดสืบสวน สภ.เมืองพะเยา และเจ้าหน้าที่พิสูจน์หลักฐาน เข้าตรวจค้นบ้านของ นายพิทักษ์ ผู้ต้องสงสัย ใน อ.เมือง จ.พะเยา พบรถยนต์กระบะ ยี่ห้อโตโยต้า สปอร์ตไรเดอร์ ทะเบียนพะเยา 1 คัน และรถจักรยานยนต์พ่วงข้างอีก 1 คัน จึงตรวจสอบพบคราบเลือดและดินโคลน จากนั้นจึงนำตัว นายพิทักษ์ มาสอบปากคำที่ สภ.เมืองพะเยา พร้อมทั้งขออนุมัติหมายจับจากศาลจังหวัดพะเยา ทำการจับกุมตัว นายพิทักษ์ พร้อมของกลางเป็นรถจักรยานยนต์พ่วงข้าง และรถยนต์กระบะมาเก็บไว้ที่ สภ.เมืองพะเยา"|2022-09-08|พะเยา
ไรเดอร์เลือดร้อน วางมวยโจทก์เก่า เมาสู้ไม่ได้ คว้าปืนในบ้านยิงดับคาซอย|"หนุ่มไรเดอร์เลือดร้อน เปิดศึกวางมวยช่างเหล็กโจทก์เก่า เมาสู้ไม่ได้-คว้าปืนในบ้านยิงดับคาซอย ยืนรอมอบตัวตำรวจ เผยผู้ตายเป็นอริเก่า-แค้นเคยถูกไล่ฟัน

เมื่อเวลา 22.30 น. วันที่ 1 ก.ย.65 ร.ต.อ.ยศวรรธน์ รัตนศรี รอง สว.(สอบสวน) สน.ราษฎร์บูรณะ รับแจ้งเหตุยิงกันมีผู้เสียชีวิต เหตุเกิดกลางซอยพุทธบูชา 38 ถนนพุทธบูชา แขวงบางมด เขตทุ่งครุ กทม. จึงเดินทางไปตรวจสอบพร้อม พ.ต.อ.สุกฤต มังคละสวัสดิ์ ผกก.สน.ราษฎร์บูรณะ พ.ต.ท.เอกวัตร วรรักษา รอง ผกก.ป.สน.ราษฎร์บูรณะแพทย์นิติเวช รพ.ศิริราช และอาสามูลนิธิร่วมกตัญญู

ที่เกิดเหตุอยู่กลางถนนใกล้กับหน้าบ้านหลังหนึ่งภายในซอย พบศพ นายบุญธรรม นามโคตร อายุ 44 ปี ชาวจังหวัดขอนแก่น อาชีพช่างโรงเหล็ก สภาพนอนตะแคงขวาจมกองเลือด ไม่สวมเสื้อ นุ่งกางเกงขาสั้นสีดำ ถูกยิงด้วยอาวุธปืนไทยประดิษฐ์ ขนาด .380 เข้าที่ปลายคาง 1 นัด แขนขวา 1 นัด ชายโครงซ้าย 1 นัด แผ่นหลังฝั่งขวา 1 นัด หน้าอกซ้าย 1 นัด น่องซ้าย 1 นัด และฝ่ามือขวา 1 นัด รวมทั้งสิ้น 7 นัด นอกจากนี้ยังพบปลอกกระสุนปืนตกอยู่ จำนวน 7 ปลอก และหัวกระสุนอีก 2 หัว เจ้าหน้าที่จึงเก็บไว้เป็นหลักฐาน"|2022-09-02|กรุงเทพมหานคร
อุกอาจ คนร้ายบุกยิง ลุง 67 ดับกลางวงไฮโลงานศพ ตร.ตั้งปมขัดแย้งส่วนตัว|"คนร้ายพก .38 บุกยิงลุง 67 ตายคาวงไฮโลงานศพ ที่พัทลุง ถูกลูกหลงบาดเจ็บอีก 2 ด้านเมียเผยผู้ตายไม่เคยมีปัญหากับใคร ตำรวจตั้งปมขัดแย้งส่วนตัว เตรียมเรียกบุคคลใกล้ชิดสอบ 

เมื่อเวลา 22.30 น. วันที่ 24 ส.ค.65 ร.ต.ท.วุฒิชัย แสงชาตรี ร้อยเวร สภ.ควนขนุน รับแจ้งเหตุคนถูกยิงเสียชีวิต ที่บ้านหลังหนึ่งในพื้นที่ ต.ชะมวง อ.ควนขนุน จ.พัทลุง จึงเดินทางไปตรวจสอบ พร้อมเจ้าหน้าที่ตำรวจชุดสืบสวน เจ้าหน้าที่ตำรวจชุดกองกำกับการสืบสวนตำรวจภูธรจังหวัดพัทลุง และเจ้าหน้าที่กู้ภัย

ที่เกิดเหตุกำลังจัดงานศพ บริเวณหลังม่านบังโลงศพ พบศพ นายบุญเลิศ ศรีเงิน อายุ 67 ปี ชาวจังหวัดพัทลุง สภาพนอนหงายเสียชีวิต ถูกยิงด้วยอาวุธปืนขนาด .38 เข้าที่บริเวณแผ่นหลังทะลุราวนมด้านขวา 2 นัด และพบหัวกระสุนปืนขนาด .38 ตกอยู่อีก 2 หัว เจ้าหน้าที่จึงเก็บไว้เป็นหลักฐาน นอกจากนี้ ยังมีผู้ได้รับบาดเจ็บอีก 1 ราย ทราบชื่อคือ นายกิตติศักดิ์ ศรีไสย อายุ 40 ปี มีบาดแผลถูกยิงที่บริเวณไหล่ด้านซ้าย พลเมืองดีนำส่ง รพ.ควนขนุน ล่าสุดอาการปลอดภัย"|2022-08-25|กรุงเทพมหานคร
รวบลูกสาว-ลูกเขย จ้างมือยิงพ่อแท้ๆ ดับ อ้างถูกข่มขู่ ขัดแย้งขายที่ดิน|"ตำรวจภาค 1 ทำการจับกุม ลูกสาว-ลูกเขย จ้างมือปืนยิงเอ็ม 16 ถล่มพ่อบังเกิดเกล้า กำนันตำบลโพธิ์ชัย จนดับคารถกระบะ อ้างถูกข่มขู่ ขัดผลประโยชน์การขายที่ดิน...

เมื่อวันที่ 26 มี.ค. 58 ที่ กองบัญชาการตำรวจภูธรภาค 1 พล.ต.ท.อำนวย นิ่มมะโน ผบช.ภ.1 พล.ต.ต.คเชนทร์ คชพลายุกต์ รอง ผบช. พล.ต.ต.พงศ์ฤทธิ์ บุญเลี้ยง ผบก.ภ.จ.สิงห์บุรี พ.ต.อ.ศานิตย์ โพธิพรหม ผกก.สภ.อินทร์บุรี ร่วมกันแถลงการจับกุม น.ส.โชษิตา กิ่งอินทร์ อายุ 23 ปี นายถิรพุทธิ์ รักสุข อายุ 22 ปี สองสามีภรรยา นายไกรลพ บุญเกิด อายุ 29 ปี มือปืน นายอัศราวุฒ เรียบร้อย อายุ 20 ปี คนขี่รถจักรยานยนต์ นายดนัย ภักดี อายุ 29 ปี ผู้ติดต่อมือปืน ในข้อหาร่วมกันฆ่าบุพการีโดยไตร่ตรองไว้ก่อน

พล.ต.ท.อำนวย กล่าวว่า การจับกุมคนร้ายครั้งนี้สืบเนื่องจาก เมื่อวันที่ 27 ธ.ค.57 เวลา 19.30 น. ได้มีคนร้ายขี่รถจักรยานยนต์ใช้อาวุธปืน เอ็ม 16 ยิงถล่ม นายจรัณร์ กิ่งอินทร์ อายุ 41 ปี กำนันตำบลโพธิ์ชัย ขณะขับรถกระบะเสียชีวิต เหตุเกิดบนถนนหนองเต่า-ทองเอน หมู่ 4 ต.ทองเอน อ.อินทร์บุรี จ.สิงห์บุรี หลังเกิดเหตุได้สั่งการให้เจ้าหน้าที่ตำรวจเร่งสืบสวนติดตามจับกุมตัวคนร้ายให้ได้โดยเร็ว เนื่องจากคนร้ายก่อเหตุอย่างอุกอาจ ใช้อาวุธสงครามยิงถล่มกำนันจนเสียชีวิต ซึ่งเป็นคดีสะเทือนขวัญ ต่อมาสืบทราบว่า ผู้ตายมีความขัดแย้งกับลูกสาวและลูกเขย จึงได้นำตัวมาสอบสวนจนสามารถจับกุมคนร้ายได้ทั้งหมด

จากการสอบสวน นายถิรพุทธิ์ ลูกเขยของผู้ตาย สารภาพว่า ตน และ น.ส.โชษิตา ภรรยา ได้อยู่อาศัยที่บ้านกับ นายจรัณร์ พ่อตา ต่อมา นายจรัณร์ได้มีภรรยาใหม่และมีลูกด้วยกัน จึงได้ไปปลูกบ้านอยู่กับลูกและภรรยา ซึ่งนายจรัณร์ ได้บอกว่าจะขายบ้านและที่ดิน ซึ่งเป็นทรัพย์สินที่ซื้อไว้ตอนอยู่กินกับแม่ ของ น.ส.โชษิตา เนื่องจากมีครอบครัวใหม่จึงต้องการแบ่งทรัพย์สิน โดยจะขายในราคา 9 ล้านบาท แต่จะแบ่งให้แค่ 3 ล้านบาทเท่านั้น จึงเกิดปัญหาทะเลาะกันมาโดยตลอด

""นายจรัณร์ ยังได้พูดจาข่มขู่ตนว่าให้ระวังตัวไว้ด้วย ตนไม่พอใจและกลัวว่านายจรัญจะทำร้าย จึงได้ติดต่อกับ นายดนัย ให้หามือปืนมายิงนายจรัญ ในราคา 180,000 บาท โดยได้มีการนัดจ่ายก่อนครึ่งนึง เมื่อเสร็จงานจึงจะจ่ายส่วนที่เหลือ หลังจากที่คนร้ายได้ยิง นายจรัณร์ เสร็จแล้วได้แยกย้ายกันหลบหนี ส่วนตนกับภรรยา ก็ทำตัวตามปกติเหมือนไม่มีอะไรเกิดขึ้น จนมาถูกเจ้าหน้าที่ตำรวจจับกุมตัวดังกล่าว"" นายถิรพุทธิ์ กล่าว."|2020-03-27|กรุงเทพมหานคร
หนุ่มกาฬสินธุ์เกิดคลั่ง คว้าไม้ทุบหัวหวังฆ่าพ่อบังเกิดเกล้า ดับจมกองเลือด|"ตร.สภ.คำม่วง รวบหนุ่มกาฬสินธุ์วัย 40 เกิดอาการคลุ้มคลั่งคว้าท่อนไม้อันเท่าขา ทุบหัวพ่อแท้ๆ จนจมกองเลือดเสียชีวิตหน้าบ้าน ตร.พบผู้ต้องหามีอาการทางประสาท แจ้งข้อหาฆ่าบุพการี ส่งดำเนินคดีตามกฎหมาย


เมื่อวันที่ 4 ก.ค.2563 ร.ต.อ.สงวน สัตตราศรี ร้อยเวร สภ.คำม่วง จ.กาฬสินธุ์ ได้รับแจ้งเหตุฆ่ากันตายภายในหมู่บ้านโนนค้อ ม.11 ต.นาทัน อ.คำม่วง จ.กาฬสินธุ์ หลังรับแจ้งจึงพร้อมด้วย พ.ต.อ.อลงกรณ์ เสนีย์รณฤทธิ์ ผกก.สภ.คำม่วง พ.ต.ท.ทองพูล ทองจันทร์ รองผกก.สบสวน สภ.คำม่วง เจ้าหน้าที่หน่วยกู้ภัยอโสกจุดอำเภอคำม่วง และแพทย์เวรโรงพยาบาลคำม่วงเข้าตรวจสอบที่เกิดเหตุ"|2020-07-04|กาฬสินธุ์
"""ทนายษิทรา"" เผยโทษเอาผิด ชายปริศนาบุกต่อยหน้า ""ศรีสุวรรณ"" บอกมีอะไรให้คุยกันดีๆ"|"""ทนายษิทรา"" เผยโทษ กรณีคนบุกชกหน้า ""ศรีสุวรรณ"" ชี้ ผิดข้อหาทำร้ายร่างกาย ปรับไม่เกิน 10,000 บอกไม่พอใจอะไร ให้พูดกันดีๆ หากพลาดขึ้นมา หาอะไหล่เปลี่ยนยาก พร้อมเตือนระวังพฤติกรรมเลียนแบบ

วันที่ 18 ตุลาคม 2565 ผู้สื่อข่าวรายงานว่า จากกรณี นายศรีสุวรรณ จรรยา เลขาธิการสมาคมองค์การพิทักษ์รัฐธรรมนูญไทย ถูกชายคนหนึ่งบุกเข้าทำร้ายระหว่างให้สัมภาษณ์กับสื่อมวลชน กรณีร้องเรียนทอล์กโชว์ เดี่ยวไมโครโฟน 13 ที่กองบังคับการปราบปรามการกระทำความผิดเกี่ยวกับอาชญากรรมทางเทคโนโลยี (บก.ปอท.) จนกลายเป็นกระแสในโลกออนไลน์ โดยเฉพาะในทวิตเตอร์ที่พูดถึงเหตุการณ์นี้ ทำให้แฮชแท็ก #ศรีสุวรรณ พุ่งขึ้นติดเทรนด์อย่างต่อเนื่อง

ต่อมา ทนายษิทรา เบี้ยบังเกิด เลขาธิการมูลนิธิทีมงานทนายประชาชนฯ ได้โพสต์ข้อความผ่านเฟซบุ๊กเกี่ยวกับกรณีดังกล่าวว่า วันนี้มีแมตช์หยุดโลกนะครับ หน้ากองบัญชาการตำรวจสอบสวนกลาง ซึ่งปกติคนไทยไม่ค่อยจะเห็นด้วยกับการทำร้ายร่างกายกันเท่าไหร่ แต่เคสนี้ยกเว้นด้วยเหตุใดก็ไม่ทราบได้"|2022-10-18|กรุงเทพมหานคร
